Date,nifty_close,lag1,lag2,lag3,lag4,lag5
10-01-2000 00:00,1632.95,1613.3,1617.6,1595.8,1638.7,1592.2
11-01-2000 00:00,1572.5,1632.95,1613.3,1617.6,1595.8,1638.7
12-01-2000 00:00,1624.8,1572.5,1632.95,1613.3,1617.6,1595.8
13-01-2000 00:00,1621.4,1624.8,1572.5,1632.95,1613.3,1617.6
14-01-2000 00:00,1622.75,1621.4,1624.8,1572.5,1632.95,1613.3
17-01-2000 00:00,1611.6,1622.75,1621.4,1624.8,1572.5,1632.95
18-01-2000 00:00,1606.7,1611.6,1622.75,1621.4,1624.8,1572.5
19-01-2000 00:00,1634.85,1606.7,1611.6,1622.75,1621.4,1624.8
20-01-2000 00:00,1601.1,1634.85,1606.7,1611.6,1622.75,1621.4
21-01-2000 00:00,1620.6,1601.1,1634.85,1606.7,1611.6,1622.75
24-01-2000 00:00,1613.6,1620.6,1601.1,1634.85,1606.7,1611.6
25-01-2000 00:00,1586.4,1613.6,1620.6,1601.1,1634.85,1606.7
27-01-2000 00:00,1603.9,1586.4,1613.6,1620.6,1601.1,1634.85
28-01-2000 00:00,1599.1,1603.9,1586.4,1613.6,1620.6,1601.1
31-01-2000 00:00,1546.2,1599.1,1603.9,1586.4,1613.6,1620.6
01-02-2000 00:00,1549.5,1546.2,1599.1,1603.9,1586.4,1613.6
02-02-2000 00:00,1588,1549.5,1546.2,1599.1,1603.9,1586.4
03-02-2000 00:00,1597.9,1588,1549.5,1546.2,1599.1,1603.9
04-02-2000 00:00,1599.75,1597.9,1588,1549.5,1546.2,1599.1
07-02-2000 00:00,1636.6,1599.75,1597.9,1588,1549.5,1546.2
08-02-2000 00:00,1662.75,1636.6,1599.75,1597.9,1588,1549.5
09-02-2000 00:00,1689.65,1662.75,1636.6,1599.75,1597.9,1588
10-02-2000 00:00,1711.2,1689.65,1662.75,1636.6,1599.75,1597.9
11-02-2000 00:00,1756,1711.2,1689.65,1662.75,1636.6,1599.75
14-02-2000 00:00,1744.5,1756,1711.2,1689.65,1662.75,1636.6
15-02-2000 00:00,1702.55,1744.5,1756,1711.2,1689.65,1662.75
16-02-2000 00:00,1711.1,1702.55,1744.5,1756,1711.2,1689.65
17-02-2000 00:00,1742.1,1711.1,1702.55,1744.5,1756,1711.2
18-02-2000 00:00,1717.8,1742.1,1711.1,1702.55,1744.5,1756
21-02-2000 00:00,1753.5,1717.8,1742.1,1711.1,1702.55,1744.5
22-02-2000 00:00,1739.05,1753.5,1717.8,1742.1,1711.1,1702.55
23-02-2000 00:00,1696.4,1739.05,1753.5,1717.8,1742.1,1711.1
24-02-2000 00:00,1732,1696.4,1739.05,1753.5,1717.8,1742.1
